lat       lon
41.59855  -81.60924
41.59855  -81.59307
41.59855  -81.5769
41.59855  -81.56073
41.59855  -81.54456
41.59855  -81.52839
41.61068  -83.12919
41.61068  -83.11302
41.61068  -83.09685
41.61068  -83.08068
41.61068  -83.06452
41.61068  -83.04835
41.61068  -83.03218
41.61068  -83.01601
41.61068  -82.99984
41.61068  -82.98367
41.61068  -82.9675
41.61068  -82.95133
41.61068  -82.93516
41.61068  -82.91899
41.61068  -82.90282
41.61068  -82.88665
41.61068  -82.87048
41.61068  -82.85431
41.61068  -82.83814
41.61068  -82.82197
41.61068  -82.8058
41.61068  -82.78963
41.61068  -82.77346
41.61068  -82.75729
41.61068  -82.74112
41.61068  -82.72495
41.61068  -82.66027
41.61068  -82.6441
41.61068  -82.62793
41.61068  -82.61176
41.61068  -82.59559
41.61068  -82.57942
41.61068  -82.56325
41.61068  -82.54708
41.61068  -82.53092
41.61068  -82.51475
41.61068  -82.49858
41.61068  -82.48241
41.61068  -82.46624
41.61068  -82.45007
41.61068  -82.4339
41.61068  -82.41773
41.61068  -82.40156
41.61068  -82.38539
41.61068  -82.36922
41.61068  -82.35305
41.61068  -82.33688
41.61068  -82.32071
41.61068  -82.30454
41.61068  -82.28837
41.61068  -82.2722
41.61068  -82.25603
41.61068  -82.23986
41.61068  -82.22369
41.61068  -82.20752
41.61068  -82.19135
41.61068  -82.17518
41.61068  -82.15901
41.61068  -82.14284
41.61068  -82.12667
41.61068  -82.1105
41.61068  -82.09433
41.61068  -82.07816
41.61068  -82.06199
41.61068  -82.04582
41.61068  -82.02965
41.61068  -82.01348
41.61068  -81.99732
41.61068  -81.98115
41.61068  -81.96498
41.61068  -81.94881
41.61068  -81.93264
41.61068  -81.91647
41.61068  -81.9003
41.61068  -81.88413
41.61068  -81.86796
41.61068  -81.85179
41.61068  -81.83562
41.61068  -81.81945
41.61068  -81.80328
41.61068  -81.78711
41.61068  -81.77094
41.61068  -81.75477
41.61068  -81.7386
41.61068  -81.72243
41.61068  -81.70626
41.61068  -81.69009
41.61068  -81.67392
41.61068  -81.65775
41.61068  -81.64158
41.61068  -81.62541
41.61068  -81.60924
41.61068  -81.59307
41.61068  -81.5769
41.61068  -81.56073
41.61068  -81.54456
41.61068  -81.52839
41.61068  -81.51222
